benchmark,cpufreq,0x08,0x11,0x01,0x03,0x17,0x2a,time_run,time_en
/bin/mem_20_12,1721170,3.11937e+08,1.37454e+09,229,1.47746e+07,6.28545e+06,403281,8.0444e+08,8.0444e+08
/bin/mem_20_12,1865671,3.31766e+08,1.48921e+09,245,1.5714e+07,7.23527e+06,449767,8.04169e+08,8.04169e+08
/bin/mem_20_12,2000000,3.50231e+08,1.59718e+09,230,1.65964e+07,7.76995e+06,498514,8.04788e+08,8.04788e+08
/bin/mem_28_19,369959,1.54216e+06,1.54924e+07,969,36506,13869,13649,7.94247e+08,7.94247e+08
/bin/mem_28_19,514933,2.13517e+06,2.35389e+07,988,49544,21474,21204,8.12738e+08,8.12738e+08
/bin/mem_28_19,699790,2.79872e+06,3.48286e+07,972,67158,32177,31817,8.11039e+08,8.11039e+08
/bin/mem_28_19,840336,3.29958e+06,4.0409e+07,989,80656,41037,40641,8.07559e+08,8.07559e+08
/bin/mem_28_19,997008,3.74418e+06,5.47366e+07,982,92832,50265,49962,8.10027e+08,8.10027e+08
/bin/mem_28_19,1111111,4.08106e+06,6.29227e+07,968,102754,56877,56423,8.09716e+08,8.09716e+08
/bin/mem_28_19,1250000,4.41843e+06,7.48996e+07,976,112829,65014,64434,8.0951e+08,8.0951e+08
/bin/mem_28_19,1432664,4.94544e+06,8.81653e+07,969,131907,77775,77167,8.08213e+08,8.08213e+08
/bin/mem_28_19,1587301,5.45186e+06,9.77166e+07,977,144248,90503,89896,8.08722e+08,8.08722e+08
/bin/mem_28_19,1721170,5.79739e+06,1.09879e+08,970,156098,100276,99632,8.09005e+08,8.09005e+08
/bin/mem_28_19,1865671,5.93732e+06,1.28779e+08,1006,165146,104013,103347,8.08605e+08,8.08605e+08
/bin/mem_28_19,2000000,6.47451e+06,1.36722e+08,992,177658,119037,118284,8.12813e+08,8.12813e+08
